Chunk Size, Static, Static w/ input, Dynamic, Dynamic w/ input, Guided, Guided w/ input
1, 0.003641, 0.003881, 0.003140, 0.003311, 0.003300, 0.003467
2, 0.003360, 0.003540, 0.003140, 0.003339, 0.003112, 0.003272
4, 0.003478, 0.003639, 0.003259, 0.003454, 0.003141, 0.003303
8, 0.003150, 0.003334, 0.003188, 0.003350, 0.003157, 0.003318
16, 0.003362, 0.003550, 0.003310, 0.003476, 0.003197, 0.003361
32, 0.003169, 0.003376, 0.003155, 0.003346, 0.003285, 0.003448
64, 0.003145, 0.003320, 0.003507, 0.003678, 0.003154, 0.003320
128, 0.003153, 0.003340, 0.003227, 0.003413, 0.003184, 0.003352
256, 0.003440, 0.003657, 0.003462, 0.003655, 0.003740, 0.003902
512, 0.005413, 0.005639, 0.005888, 0.006055, 0.005918, 0.006081
1024, 0.009244, 0.009425, 0.007446, 0.007607, 0.007394, 0.007550
2048, 0.009440, 0.009638, 0.008179, 0.008376, 0.008171, 0.008333
4096, 0.008320, 0.008479, 0.008354, 0.008509, 0.007536, 0.007703
8192, 0.008279, 0.008434, 0.007443, 0.007598, 0.007508, 0.007666
16384, 0.007554, 0.007741, 0.007756, 0.008055, 0.007410, 0.007572
32768, 0.007712, 0.007910, 0.007682, 0.007849, 0.008049, 0.008207
65536, 0.008350, 0.008509, 0.007499, 0.007659, 0.007514, 0.007670
