	, 1	, 2	, 3	, 4	, 5
10^2, 3.400000, 3.200000, 3.200000, 2.800000, 3.200000
10^3, 3.240000, 3.240000, 3.040000, 3.160000, 3.200000
10^4, 3.058000, 3.148000, 3.152000, 3.132000, 3.148000
10^5, 3.139400, 3.140400, 3.145200, 3.142600, 3.112200
10^6, 3.146780, 3.145660, 3.137100, 3.139620, 3.138300
10^7, 3.140400, 3.141944, 3.141350, 3.142294, 3.141280
10^8, 3.141935, 3.141615, 3.141298, 3.141935, 3.141739
10^9, 3.141581, 3.141612, 3.141557, 3.141499, 3.141579
10^10, 3.141582, 3.141599, 3.141592, 3.141597, 3.141594
10^11, 3.141593, 3.141593, 3.141593, 3.141593, 3.141592
10^12, TIMED OUT
